lat,lon,delta_g_mGal,Y12_7_sq,beta_V32,subspace_pct
-2.0,75.0,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,75.20408163265306,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,75.40816326530613,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,75.61224489795919,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,75.81632653061224,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,76.0204081632653,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,76.22448979591837,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,76.42857142857143,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,76.63265306122449,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,76.83673469387755,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,77.04081632653062,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,77.24489795918367,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,77.44897959183673,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,77.65306122448979,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,77.85714285714286,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,78.06122448979592,-3000.4635496668056,0.0153389986620743,0.00491621546045224,99.50837845395478
-2.0,78.26530612244898,-3001.9046367138694,0.0153389986620743,0.004914746462443001,99.5085253537557
-2.0,78.46938775510205,-3003.185602977926,0.0153389986620743,0.004913440686434788,99.50865593135653
-2.0,78.6734693877551,-3004.3064484589754,0.015338998662074296,0.004912298132427601,99.50877018675725
-2.0,78.87755102040816,-3005.267173157018,0.0153389986620743,0.004911318800421442,99.50886811995787
-2.0,79.08163265306122,-3006.0677770720536,0.015338998662074296,0.004910502690416308,99.50894973095838
-2.0,79.28571428571429,-3006.708260204082,0.0153389986620743,0.0049098498024122035,99.50901501975878
-2.0,79.48979591836735,-3007.188622553103,0.015338998662074303,0.004909360136409125,99.5090639863591
-2.0,79.6938775510204,-3007.508864119117,0.0153389986620743,0.004909033692407071,99.5090966307593
-2.0,79.89795918367346,-3007.668984902124,0.015338998662074296,0.004908870470406043,99.5091129529594
-2.0,80.10204081632654,-3007.668984902124,0.015338998662074296,0.004908870470406043,99.5091129529594
-2.0,80.3061224489796,-3007.508864119117,0.015338998662074303,0.004909033692407073,99.5090966307593
-2.0,80.51020408163265,-3007.188622553103,0.015338998662074303,0.004909360136409125,99.5090639863591
-2.0,80.71428571428571,-3006.708260204082,0.0153389986620743,0.0049098498024122035,99.50901501975878
-2.0,80.91836734693878,-3006.0677770720536,0.0153389986620743,0.00491050269041631,99.50894973095838
-2.0,81.12244897959184,-3005.267173157018,0.0153389986620743,0.004911318800421442,99.50886811995787
-2.0,81.3265306122449,-3004.3064484589754,0.0153389986620743,0.004912298132427603,99.50877018675725
-2.0,81.53061224489795,-3003.185602977926,0.0153389986620743,0.004913440686434788,99.50865593135653
-2.0,81.73469387755102,-3001.9046367138694,0.0153389986620743,0.004914746462443001,99.5085253537557
-2.0,81.93877551020408,-3000.4635496668056,0.0153389986620743,0.00491621546045224,99.50837845395478
-2.0,82.14285714285714,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,82.34693877551021,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,82.55102040816327,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,82.75510204081633,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,82.95918367346938,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,83.16326530612245,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,83.36734693877551,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,83.57142857142857,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,83.77551020408163,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,83.9795918367347,-3000.0,0.015338998662074306,0.004916687988145214,99.50833120118547
-2.0,84.18367346938776,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,84.38775510204081,-3000.0,0.015338998662074303,0.004916687988145214,99.50833120118547
-2.0,84.59183673469389,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-2.0,84.79591836734694,-3000.0,0.015338998662074296,0.004916687988145211,99.50833120118547
-2.0,85.0,-3000.0,0.0153389986620743,0.004916687988145213,99.50833120118547
-1.816326530612245,75.0,-3000.0,0.012747562745893816,0.004152214392871969,99.5847785607128
-1.816326530612245,75.20408163265306,-3000.0,0.012747562745893816,0.004152214392871969,99.5847785607128
-1.816326530612245,75.40816326530613,-3000.0,0.012747562745893816,0.004152214392871969,99.5847785607128
-1.816326530612245,75.61224489795919,-3000.0,0.01274756274589382,0.004152214392871971,99.5847785607128
-1.816326530612245,75.81632653061224,-3000.0,0.012747562745893812,0.004152214392871969,99.5847785607128
-1.816326530612245,76.0204081632653,-3000.0,0.01274756274589382,0.004152214392871971,99.5847785607128
-1.816326530612245,76.22448979591837,-3000.0,0.012747562745893812,0.004152214392871969,99.5847785607128
-1.816326530612245,76.42857142857143,-3002.6828237192835,0.012747562745893816,0.004149479608244769,99.58505203917552
-1.816326530612245,76.63265306122449,-3005.404877030404,0.012747562745893816,0.004146704834227317,99.58532951657727
-1.816326530612245,76.83673469387755,-3007.966809558517,0.012747562745893816,0.0041440932822108915,99.58559067177892
-1.816326530612245,77.04081632653062,-3010.3686213036235,0.01274756274589382,0.004141644952195494,99.58583550478045
-1.816326530612245,77.24489795918367,-3012.6103122657228,0.01274756274589382,0.004139359844181122,99.58606401558188
-1.816326530612245,77.44897959183673,-3014.691882444815,0.01274756274589382,0.004137237958167776,99.58627620418322
-1.816326530612245,77.65306122448979,-3016.6133318408997,0.012747562745893816,0.004135279294155456,99.58647207058445
-1.816326530612245,77.85714285714286,-3018.3746604539774,0.012747562745893812,0.004133483852144163,99.58665161478558
-1.816326530612245,78.06122448979592,-3019.9758682840484,0.012747562745893816,0.004131851632133898,99.5868148367866
-1.816326530612245,78.26530612244898,-3021.416955331112,0.01274756274589382,0.004130382634124659,99.58696173658753
-1.816326530612245,78.46938775510205,-3022.6979215951687,0.012747562745893816,0.004129076858116446,99.58709231418835
-1.816326530612245,78.6734693877551,-3023.818767076218,0.012747562745893812,0.004127934304109259,99.58720656958907
-1.816326530612245,78.87755102040816,-3024.779491774261,0.012747562745893816,0.0041269549721031,99.58730450278969
-1.816326530612245,79.08163265306122,-3025.5800956892963,0.012747562745893816,0.004126138862097967,99.5873861137902
-1.816326530612245,79.28571428571429,-3026.2205788213246,0.012747562745893816,0.004125485974093861,99.58745140259062
-1.816326530612245,79.48979591836735,-3026.7009411703457,0.01274756274589382,0.004124996308090783,99.58750036919092
-1.816326530612245,79.6938775510204,-3027.02118273636,0.01274756274589382,0.0041246698640887295,99.58753301359113
-1.816326530612245,79.89795918367346,-3027.181303519367,0.012747562745893812,0.004124506642087701,99.58754933579122
-1.816326530612245,80.10204081632654,-3027.181303519367,0.012747562745893816,0.004124506642087702,99.58754933579122
-1.816326530612245,80.3061224489796,-3027.02118273636,0.01274756274589382,0.0041246698640887295,99.58753301359113
-1.816326530612245,80.51020408163265,-3026.7009411703457,0.012747562745893816,0.004124996308090781,99.58750036919092
-1.816326530612245,80.71428571428571,-3026.2205788213246,0.012747562745893816,0.004125485974093861,99.58745140259062
-1.816326530612245,80.91836734693878,-3025.5800956892963,0.012747562745893816,0.004126138862097967,99.5873861137902
-1.816326530612245,81.12244897959184,-3024.779491774261,0.012747562745893816,0.0041269549721031,99.58730450278969
-1.816326530612245,81.3265306122449,-3023.818767076218,0.012747562745893816,0.00412793430410926,99.58720656958907
-1.816326530612245,81.53061224489795,-3022.6979215951687,0.012747562745893816,0.004129076858116446,99.58709231418835
-1.816326530612245,81.73469387755102,-3021.416955331112,0.01274756274589382,0.004130382634124659,99.58696173658753
-1.816326530612245,81.93877551020408,-3019.9758682840484,0.012747562745893816,0.004131851632133898,99.5868148367866
-1.816326530612245,82.14285714285714,-3018.3746604539774,0.012747562745893816,0.004133483852144164,99.58665161478558
-1.816326530612245,82.34693877551021,-3016.6133318408997,0.012747562745893816,0.004135279294155456,99.58647207058445
-1.816326530612245,82.55102040816327,-3014.691882444815,0.012747562745893812,0.0041372379581677745,99.58627620418322
-1.816326530612245,82.75510204081633,-3012.6103122657228,0.012747562745893812,0.0041393598441811195,99.58606401558188
-1.816326530612245,82.95918367346938,-3010.3686213036235,0.012747562745893812,0.0041416449521954925,99.58583550478045
-1.816326530612245,83.16326530612245,-3007.966809558517,0.01274756274589382,0.004144093282210893,99.58559067177892
-1.816326530612245,83.36734693877551,-3005.404877030404,0.012747562745893816,0.004146704834227317,99.58532951657727
-1.816326530612245,83.57142857142857,-3002.6828237192835,0.012747562745893816,0.004149479608244769,99.58505203917552
-1.816326530612245,83.77551020408163,-3000.0,0.012747562745893816,0.004152214392871969,99.5847785607128
-1.816326530612245,83.9795918367347,-3000.0,0.01274756274589382,0.004152214392871971,99.5847785607128
-1.816326530612245,84.18367346938776,-3000.0,0.012747562745893816,0.004152214392871969,99.5847785607128
-1.816326530612245,84.38775510204081,-3000.0,0.01274756274589382,0.004152214392871971,99.5847785607128
-1.816326530612245,84.59183673469389,-3000.0,0.012747562745893816,0.004152214392871969,99.5847785607128
-1.816326530612245,84.79591836734694,-3000.0,0.012747562745893812,0.004152214392871969,99.5847785607128
-1.816326530612245,85.0,-3000.0,0.012747562745893812,0.004152214392871969,99.5847785607128
-1.6326530612244898,75.0,-3000.0,0.010370680264840343,0.0034510340609611953,99.65489659390389
-1.6326530612244898,75.20408163265306,-3001.9814946897127,0.010370680264840344,0.003449014188698491,99.65509858113015
-1.6326530612244898,75.40816326530613,-3005.6642726988757,0.010370680264840344,0.0034452600826748794,99.6554739917325
-1.6326530612244898,75.61224489795919,-3009.186929925031,0.010370680264840344,0.003441669198652295,99.65583308013477
-1.6326530612244898,75.81632653061224,-3012.5494663681798,0.010370680264840344,0.0034382415366307367,99.65617584633692
-1.6326530612244898,76.0204081632653,-3015.7518820283212,0.010370680264840351,0.0034349770966102073,99.65650229033898
-1.6326530612244898,76.22448979591837,-3018.794176905456,0.010370680264840343,0.0034318758785907,99.65681241214092
-1.6326530612244898,76.42857142857143,-3021.6763509995835,0.010370680264840348,0.0034289378825722223,99.65710621174277
-1.6326530612244898,76.63265306122449,-3024.398404310704,0.010370680264840348,0.0034261631085547705,99.65738368914452
-1.6326530612244898,76.83673469387755,-3026.960336838817,0.010370680264840343,0.003423551556538344,99.65764484434617
-1.6326530612244898,77.04081632653062,-3029.3621485839235,0.010370680264840348,0.0034211032265229462,99.65788967734771
-1.6326530612244898,77.24489795918367,-3031.6038395460223,0.010370680264840348,0.003418818118508574,99.65811818814915
-1.6326530612244898,77.44897959183673,-3033.6854097251144,0.010370680264840344,0.0034166962324952274,99.65833037675048
-1.6326530612244898,77.65306122448979,-3035.6068591211992,0.010370680264840348,0.0034147375684829098,99.65852624315171
-1.6326530612244898,77.85714285714286,-3037.3681877342774,0.010370680264840344,0.0034129421264716157,99.65870578735284
